date,cases,deaths
12/30/2020,54152,1741
1/2/2021,54843,1777
1/4/2021,55481,1790
1/5/2021,55748,1801
1/6/2021,56346,1805
1/7/2021,56687,1825
1/8/2021,57114,1821
1/9/2021,57366,1848
1/11/2021,57908,1852
1/12/2021,58143,1865
1/13/2021,58435,1869
1/14/2021,58668,1883
1/15/2021,58992,1885
1/16/2021,59227,1895
1/18/2021,59534,1896
1/19/2021,59765,1903
1/20/2021,59957,1908
1/21/2021,60159,1923
1/22/2021,60359,1922
1/23/2021,60506,1941
1/25/2021,60789,1946
1/26/2021,60996,1955
1/27/2021,61172,1952
1/28/2021,61330,1963
1/29/2021,61475,1964
1/30/2021,61614,1975
2/1/2021,61791,1974
2/2/2021,61908,1984
2/3/2021,62013,1986
2/4/2021,62166,1996
2/5/2021,62285,1996
2/6/2021,62408,2010
2/8/2021,62613,2013
2/9/2021,62686,2015
2/10/2021,62789,2015
2/11/2021,62891,2020
2/12/2021,62981,2020
2/13/2021,63063,2034
2/14/2021,63063,2034
2/15/2021,63184,2035
2/16/2021,63267,2035
2/17/2021,63360,2036
2/18/2021,63458,2046
2/19/2021,63582,2051
2/20/2021,63636,2056
2/22/2021,63823,2056
2/23/2021,63954,2057
2/24/2021,64096,2059
2/25/2021,64264,2065
2/26/2021,64369,2065
2/27/2021,64507,2072
3/1/2021,64755,2073
3/2/2021,64913,2074
3/3/2021,65094,2074
3/4/2021,65256,2076
3/5/2021,65470,2076
3/6/2021,65650,2087
3/8/2021,65982,2087
3/9/2021,66092,2094
3/10/2021,66431,2096
3/11/2021,66658,2097
3/12/2021,67026,2098
3/13/2021,67195,2102
3/15/2021,67660,2104
3/16/2021,67950,2107
3/17/2021,68337,2107
3/18/2021,68591,2107
3/19/2021,69091,2108
3/20/2021,69418,2116
3/22/2021,70112,2116
3/23/2021,70606,2122
3/24/2021,71115,2123
3/25/2021,71803,2131
3/26/2021,72443,2133
3/27/2021,72990,2136
3/29/2021,74082,2137
3/30/2021,74785,2142
3/31/2021,75572,2142
4/1/2021,76301,2146
4/2/2021,76872,2150
4/3/2021,77940,2157
4/5/2021,79449,2161
4/6/2021,80084,2166
4/7/2021,81247,2167
4/8/2021,82268,2182
4/9/2021,83252,2189
4/10/2021,84037,2195
4/12/2021,85239,2194
4/13/2021,86548,2207
4/14/2021,87475,2208
4/15/2021,88209,2220
4/16/2021,89230,2229
4/17/2021,89845,2235
4/19/2021,90847,2242
4/20/2021,91521,2250
4/21/2021,92089,2254
4/22/2021,92681,2274
4/23/2021,93214,2275
4/24/2021,93820,2286
4/26/2021,94631,2288
4/27/2021,95011,2301
4/28/2021,95481,2307
4/29/2021,95866,2323
4/30/2021,96275,2334
5/1/2021,96622,2345
5/3/2021,97238,2348
5/4/2021,97459,2366
5/5/2021,97726,2372
5/6/2021,98111,2390
5/7/2021,98384,2396
5/8/2021,98561,2406
5/10/2021,98866,2412
5/11/2021,99032,2423
5/12/2021,99247,2425
5/13/2021,99460,2439
5/14/2021,99630,2442
5/15/2021,99727,2449
5/17/2021,99941,2450
5/18/2021,100041,2458
5/19/2021,100159,2460
5/20/2021,100305,2467
5/21/2021,100428,2471
5/22/2021,100531,2483
5/24/2021,100650,2483
5/25/2021,100701,2491
5/26/2021,100785,2494
5/27/2021,100854,2507
5/28/2021,100927,2508
5/29/2021,100987,2516
6/1/2021,101067,2516
6/2/2021,101122,2520
6/3/2021,101172,2525
6/4/2021,101266,2528
6/5/2021,101315,2536
6/7/2021,101369,2536
6/8/2021,101408,2538
6/9/2021,101446,2540
6/10/2021,101479,2543
6/11/2021,101540,2544
6/12/2021,101578,2548
6/14/2021,101612,2548
6/15/2021,101644,2552
6/16/2021,101663,2552
6/17/2021,101681,2558
6/18/2021,101716,2560
6/21/2021,101744,2564
6/22/2021,101764,2564
6/23/2021,101790,2565
6/24/2021,101825,2567
6/25/2021,101837,2567
6/28/2021,101890,2567
