date,temp_max,temp,temp_min,dew_max,dew,dew_min,humidity_max,humidity,humidity_min,windspeed_max,windspeed,windspeed_min,pressure_max,pressure,pressure_min,precip
12/1/2020,87,77.8,68,66,62.5,58,84,60.8,42,13,4.7,0,29.3,29.3,29.3,0
12/2/2020,88,80.2,69,66,62.3,60,73,55.3,43,9,4.5,0,29.4,29.3,29.3,0
12/3/2020,93,82.3,73,71,65.9,61,71,57.9,42,12,6.3,3,29.3,29.3,29.3,0
12/4/2020,87,79,71,66,59.8,54,78,53.6,36,14,6.3,0,29.4,29.4,29.3,0
12/5/2020,89,78.6,64,59,54.9,52,67,45.7,31,10,4.5,0,29.4,29.3,29.3,0
12/6/2020,92,82.3,71,68,63.4,58,76,54,38,15,4.4,0,29.4,29.3,29.3,0
12/7/2020,93,80.7,72,70,66.2,62,87,63,41,17,6.5,0,29.3,29.3,29.2,0
12/8/2020,89,79.8,72,73,68.5,65,84,68.8,55,14,4.7,0,29.3,29.3,29.2,1.45
12/9/2020,92,83.7,73,74,69.8,64,90,65.1,41,9,4.8,0,29.3,29.2,29.2,0.04
12/10/2020,89,76.4,70,72,69.5,66,94,80.1,53,20,7.1,0,29.2,29.1,29.1,0
12/11/2020,86,75.1,68,68,63.7,59,93,70.9,40,15,10.3,5,29.1,29.1,29.1,1.51
12/12/2020,83,75.3,68,62,59.8,57,76,59.5,44,13,6.8,0,29.2,29.1,29.1,0
12/13/2020,79,71.4,63,61,58.6,56,81,65,46,9,4.3,0,29.3,29.3,29.2,0
12/14/2020,84,74.2,64,64,60.1,57,84,63.4,44,12,4.8,0,29.4,29.4,29.3,0
12/15/2020,87,78.7,70,66,63.3,61,78,60.5,44,14,7.5,0,29.4,29.4,29.3,0
12/16/2020,78,75,72,74,70.4,66,94,85.7,66,8,5.7,0,29.4,29.3,29.3,0.32
12/17/2020,87,78,69,68,63.6,59,93,64.1,41,12,5.8,0,29.5,29.4,29.4,0.41
12/18/2020,91,82,72,70,68.3,67,91,64.6,47,17,8.5,0,29.4,29.4,29.2,0
12/19/2020,83,78.1,72,74,70.7,66,91,78.2,67,25,10.9,0,29.2,29.2,29.1,0
12/20/2020,86,77.8,70,69,63.7,59,90,64.6,40,13,7.8,3,29.4,29.3,29.2,0.59
12/21/2020,81,73.1,67,69,63.5,58,81,71.8,60,10,5.6,0,29.4,29.4,29.3,0
12/22/2020,84,77.5,72,70,68.5,67,90,74.8,56,16,9.4,0,29.3,29.3,29.2,0.01
12/23/2020,82,75.1,67,68,65.1,57,87,71.4,56,14,6.6,0,29.5,29.4,29.3,0
12/24/2020,83,73.5,63,64,60,55,90,64.5,41,8,5.2,0,29.5,29.5,29.4,0
12/25/2020,88,77.5,66,67,62.3,58,87,61.5,39,9,3.9,0,29.5,29.4,29.4,0
12/26/2020,91,82.2,72,71,67.5,63,76,62,48,14,7.9,0,29.4,29.3,29.2,0
