date,fips,cases,deaths
1/1/2021,48201,239657,3417
1/2/2021,48201,243059,3424
1/3/2021,48201,245551,3431
1/4/2021,48201,247458,3435
1/5/2021,48201,249488,3453
1/6/2021,48201,250854,3482
1/7/2021,48201,253612,3522
1/8/2021,48201,256046,3549
1/9/2021,48201,259773,3581
1/10/2021,48201,262525,3588
1/11/2021,48201,266525,3591
1/12/2021,48201,267729,3618
1/13/2021,48201,269089,3658
1/14/2021,48201,274899,3691
1/15/2021,48201,278312,3723
1/16/2021,48201,281422,3777
1/17/2021,48201,284917,3792
1/18/2021,48201,286356,3795
1/19/2021,48201,287753,3825
1/20/2021,48201,290249,3866
1/21/2021,48201,293271,3898
1/22/2021,48201,294266,3941
1/23/2021,48201,296521,3978
1/24/2021,48201,297629,4013
1/25/2021,48201,301173,4024
1/26/2021,48201,304333,4060
1/27/2021,48201,306495,4111
1/28/2021,48201,308902,4152
1/29/2021,48201,311665,4196
1/30/2021,48201,314697,4242
1/31/2021,48201,317654,4257
2/1/2021,48201,319800,4264
2/2/2021,48201,320744,4314
2/3/2021,48201,323408,4356
2/4/2021,48201,325010,4410
2/5/2021,48201,326248,4441
2/6/2021,48201,327079,4488
2/7/2021,48201,328426,4506
2/8/2021,48201,329167,4520
2/9/2021,48201,329576,4569
2/10/2021,48201,330256,4607
2/11/2021,48201,331837,4664
2/12/2021,48201,333279,4702
2/13/2021,48201,335673,4735
2/14/2021,48201,337012,4753
2/15/2021,48201,338274,4760
2/16/2021,48201,338284,4760
2/17/2021,48201,339366,4766
2/18/2021,48201,339444,4771
2/19/2021,48201,340559,4790
2/20/2021,48201,340951,4829
2/21/2021,48201,342309,4851
2/22/2021,48201,343070,4858
2/23/2021,48201,343573,4884
2/24/2021,48201,344102,4933
2/25/2021,48201,344898,4980
2/26/2021,48201,348125,5019
2/27/2021,48201,348848,5041
2/28/2021,48201,350201,5075
3/1/2021,48201,351063,5082
3/2/2021,48201,353450,5110
3/3/2021,48201,355065,5155
3/4/2021,48201,356429,5212
3/5/2021,48201,357558,5267
3/6/2021,48201,358505,5296
3/7/2021,48201,359382,5301
3/8/2021,48201,359948,5304
3/9/2021,48201,360421,5331
3/10/2021,48201,360938,5370
3/11/2021,48201,362716,5401
3/12/2021,48201,363548,5440
3/13/2021,48201,364613,5468
3/14/2021,48201,365338,5487
3/15/2021,48201,365513,5490
3/16/2021,48201,366966,5505
