date,cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,1
3/11/2020,1
3/12/2020,1
3/13/2020,1
3/14/2020,4
3/15/2020,4
3/16/2020,5
3/17/2020,10
3/18/2020,14
3/19/2020,15
3/20/2020,15
3/21/2020,25
3/22/2020,39
3/23/2020,50
3/24/2020,50
3/25/2020,60
3/26/2020,60
3/27/2020,99
3/28/2020,120
3/29/2020,142
3/30/2020,163
3/31/2020,207
4/1/2020,239
4/2/2020,286
4/3/2020,323
4/4/2020,387
4/5/2020,413
4/6/2020,478
4/7/2020,521
4/8/2020,557
4/9/2020,595
4/10/2020,618
4/11/2020,639
4/12/2020,668
4/13/2020,691
4/14/2020,718
4/15/2020,746
4/16/2020,776
4/17/2020,817
4/18/2020,835
4/19/2020,854
4/20/2020,896
4/21/2020,909
4/22/2020,936
4/23/2020,955
4/24/2020,955
4/25/2020,965
4/26/2020,984
4/27/2020,990
4/28/2020,1001
4/29/2020,1007
4/30/2020,1012
5/1/2020,1025
5/2/2020,1038
5/3/2020,1045
5/4/2020,1072
5/5/2020,1077
5/6/2020,1077
5/7/2020,1083
5/8/2020,1088
5/9/2020,1134
5/10/2020,1164
5/11/2020,1171
5/12/2020,1186
5/13/2020,1199
5/14/2020,1215
5/15/2020,1252
5/16/2020,1259
5/17/2020,1284
5/18/2020,1300
5/19/2020,1318
5/20/2020,1336
5/21/2020,1355
5/22/2020,1376
5/23/2020,1406
5/24/2020,1439
5/25/2020,1467
5/26/2020,1484
5/27/2020,1507
5/28/2020,1523
5/29/2020,1561
5/30/2020,1608
5/31/2020,1644
6/1/2020,1654
6/2/2020,1660
6/3/2020,1669
6/4/2020,1702
6/5/2020,1736
6/6/2020,1764
6/7/2020,1792
6/8/2020,1806
6/9/2020,1824
6/10/2020,1848
6/11/2020,1893
6/12/2020,1923
6/13/2020,1961
6/14/2020,1990
6/15/2020,2032
6/16/2020,2112
6/17/2020,2194
6/18/2020,2309
6/19/2020,2484
6/20/2020,2695
6/21/2020,2902
6/22/2020,3085
6/23/2020,3202
6/24/2020,3419
6/25/2020,3724
6/26/2020,4171
6/27/2020,4848
6/28/2020,5588
6/29/2020,5839
6/30/2020,6207
7/1/2020,6480
7/2/2020,7247
7/3/2020,7961
7/4/2020,8614
7/5/2020,9146
7/6/2020,9487
7/7/2020,9835
7/8/2020,10439
7/9/2020,11028
7/10/2020,11772
7/11/2020,12287
7/12/2020,12864
7/13/2020,13370
7/14/2020,13724
7/15/2020,14152
7/16/2020,14992
7/17/2020,15641
7/18/2020,15903
7/19/2020,16546
7/20/2020,17245
7/21/2020,17544
7/22/2020,17979
7/23/2020,18357
7/24/2020,18781
7/25/2020,19288
7/26/2020,19753
7/27/2020,20001
7/28/2020,20138
7/29/2020,20398
7/30/2020,20816
7/31/2020,21038
8/1/2020,21322
8/2/2020,21665
