date,cases,deaths
8/27/2021,1407317,25284
8/28/2021,1407317,25284
8/30/2021,1414854,25401
8/31/2021,1414854,25401
9/1/2021,1419030,25454
9/2/2021,1419030,25454
9/3/2021,1421616,25477
9/4/2021,1423620,25514
9/5/2021,1423620,25533
9/6/2021,1423620,25533
9/7/2021,1427817,25611
9/8/2021,1427817,25630
9/9/2021,1427817,25630
9/10/2021,1433465,25688
9/11/2021,1435163,25713
9/12/2021,1437073,25767
9/13/2021,1439011,25775
9/14/2021,1440721,25799
9/15/2021,1442808,25828
9/16/2021,1444127,25849
9/17/2021,1445121,25852
9/18/2021,1446348,25870
9/19/2021,1448065,25911
9/20/2021,1449923,25942
9/21/2021,1451438,25972
9/22/2021,1452998,25999
9/23/2021,1454172,26013
9/24/2021,1455155,26035
9/25/2021,1456275,26047
9/26/2021,1457672,26078
9/27/2021,1459182,26106
9/28/2021,1460645,26126
9/29/2021,1462013,26143
9/30/2021,1463039,26153
10/1/2021,1463889,26179
10/2/2021,1464793,26195
10/3/2021,1466248,26226
10/4/2021,1467450,26254
10/5/2021,1468634,26284
10/6/2021,1469790,26308
10/7/2021,1470829,26312
10/8/2021,1471645,26338
10/9/2021,1472419,26346
10/10/2021,1473410,26362
8/29/2021,1409684,25326
10/11/2021,1474518,26379
12/28/2021,1696582,27637
12/29/2021,1741292,27640
1/8/2022,2046208,27812
1/9/2022,2086581,27850
1/10/2022,2131523,27895
1/11/2022,2172008,27942
1/12/2022,2213664,28008
1/13/2022,2257502,28059
1/14/2022,2289045,28086
1/15/2022,2311568,28122
1/16/2022,2343821,28181
1/17/2022,2385721,28282
1/18/2022,2428744,28346
1/19/2022,2467797,28417
1/20/2022,2494097,28480
1/21/2022,2519778,28507
1/22/2022,2540075,28540
1/23/2022,2586739,28715
1/24/2022,2586739,28715
1/25/2022,2631994,28886
1/27/2022,2659414,28963
1/30/2022,2695076,29195
1/31/2022,2710362,29280
2/2/2022,2720216,29364
2/3/2022,2727159,29428
2/4/2022,2731409,29457
2/5/2022,2735688,29506
2/6/2022,2740700,29609
2/7/2022,2746866,29690
2/8/2022,2752398,29764
2/9/2022,2757058,29846
2/10/2022,2761870,29902
2/11/2022,2764073,29928
2/12/2022,2766161,29980
2/13/2022,2769372,30081
2/14/2022,2772569,30146
2/15/2022,2777165,30216
2/16/2022,2780323,30300
2/17/2022,2782953,30356
2/18/2022,2784276,30376
2/19/2022,2785449,30411
2/20/2022,2787359,30447
10/12/2021,1475694,26398
10/13/2021,1476791,26410
10/14/2021,1477686,26414
10/15/2021,1477686,26443
10/16/2021,1479421,26446
10/17/2021,1480656,26473
10/18/2021,1481814,26506
10/19/2021,1483031,26527
10/20/2021,1484192,26540
10/21/2021,1485105,26549
10/22/2021,1485105,26549
10/23/2021,1485105,26549
10/24/2021,1485105,26549
10/25/2021,1489380,26604
10/26/2021,1490698,26626
10/27/2021,1492106,26628
10/28/2021,1493170,26637
10/29/2021,1494119,26644
10/30/2021,1495014,26661
10/31/2021,1496593,26683
11/1/2021,1499911,26719
11/2/2021,1501527,26740
11/3/2021,1502676,26750
11/4/2021,1503664,26752
11/5/2021,1504843,26762
11/6/2021,1506305,26796
11/7/2021,1507736,26814
11/8/2021,1509073,26838
11/9/2021,1510434,26856
11/10/2021,1511324,26862
11/11/2021,1512147,26872
11/12/2021,1513016,26903
11/13/2021,1514282,26923
11/14/2021,1515324,26949
11/15/2021,1516901,26973
11/16/2021,1518732,26999
11/17/2021,1519781,27010
11/18/2021,1520504,27017
11/19/2021,1521197,27046
11/20/2021,1522240,27074
11/21/2021,1522240,27074
11/22/2021,1524294,27102
11/23/2021,1524912,27121
11/24/2021,1525486,27128
11/25/2021,1526272,27138
11/26/2021,1527132,27166
11/27/2021,1528586,27184
11/28/2021,1530526,27208
11/29/2021,1530526,27208
12/30/2021,1757522,27647
1/3/2022,1887526,27756
1/26/2022,2631994,28886
1/28/2022,2668094,28998
2/21/2022,2789292,30519
3/17/2022,2823354,31462
3/18/2022,2825423,31491
3/19/2022,2826077,31508
3/20/2022,2826928,31535
3/21/2022,2827802,31561
3/22/2022,2829091,31576
3/23/2022,2830048,31594
3/24/2022,2830048,31594
3/25/2022,2831103,31619
3/26/2022,2831655,31626
3/27/2022,2832706,31655
3/28/2022,2833206,31669
3/29/2022,2834317,31683
3/30/2022,2834317,31683
3/31/2022,2834317,31683
4/1/2022,2836605,31710
4/2/2022,2837430,31722
4/3/2022,2838442,31739
4/4/2022,2839480,31754
4/5/2022,2843599,31770
4/6/2022,2843599,31770
4/7/2022,2843599,31770
4/8/2022,2846303,31807
4/9/2022,2847097,31819
4/10/2022,2848030,31830
4/11/2022,2849185,31839
4/12/2022,2850480,31852
4/13/2022,2850480,31852
4/14/2022,2850480,31852
4/15/2022,2853706,31872
4/16/2022,2854567,31884
4/17/2022,2855687,31899
4/18/2022,2857772,31913
11/30/2021,1532430,27225
12/1/2021,1534720,27244
12/2/2021,1536351,27246
12/3/2021,1537450,27248
12/4/2021,1538451,27262
12/5/2021,1540200,27275
12/6/2021,1541886,27288
12/7/2021,1545583,27325
12/8/2021,1547042,27330
12/9/2021,1547042,27330
12/10/2021,1548157,27341
12/11/2021,1549296,27352
12/12/2021,1551117,27369
12/13/2021,1553366,27388
12/14/2021,1556685,27413
12/15/2021,1560377,27432
12/16/2021,1563879,27441
12/17/2021,1567133,27448
12/18/2021,1570230,27473
12/19/2021,1576702,27488
12/20/2021,1585313,27512
12/21/2021,1595239,27533
12/22/2021,1595239,27533
12/23/2021,1616033,27546
12/24/2021,1623442,27555
12/25/2021,1632893,27576
12/26/2021,1649376,27601
12/27/2021,1669545,27625
12/31/2021,1780154,27671
1/4/2022,1921890,27772
1/29/2022,2683644,29099
2/22/2022,2791630,30587
2/23/2022,2793776,30650
2/24/2022,2793776,30650
2/25/2022,2796560,30716
2/26/2022,2797628,30773
2/27/2022,2799169,30853
2/28/2022,2800741,30911
3/1/2022,2802123,30957
3/2/2022,2803476,31005
3/3/2022,2803476,31005
3/4/2022,2805119,31046
3/5/2022,2805949,31084
3/6/2022,2807057,31138
1/1/2022,1806828,27698
2/1/2022,2710362,29280
3/7/2022,2808409,31178
4/19/2022,2859799,31924
5/27/2022,2974197,32129
5/28/2022,2976323,32133
5/29/2022,2980708,32136
5/30/2022,2985665,32146
5/31/2022,2990651,32154
6/1/2022,2990651,32154
6/2/2022,2990651,32154
6/3/2022,3004975,32168
6/4/2022,3008619,32178
6/5/2022,3014758,32186
6/6/2022,3019550,32193
6/7/2022,3025694,32201
6/8/2022,3025694,32201
6/8/2022,3025694,32201
6/9/2022,3025694,32201
6/10/2022,3038588,32218
6/11/2022,3041815,32227
6/12/2022,3047469,32236
6/13/2022,3051930,32245
6/14/2022,3057004,32250
6/15/2022,3057004,32250
6/16/2022,3069037,32261
6/17/2022,3071314,32263
6/19/2022,3076849,32271
6/20/2022,3082401,32283
6/21/2022,3088482,32291
6/22/2022,3088482,32291
