date,temp_max,temp,temp_min,dew_max,dew,dew_min,humidity_max,humidity,humidity_min,windspeed_max,windspeed,windspeed_min,pressure_max,pressure,pressure_min,precip
3/1/2020,57,54.3,51,48,42,33,80,64.1,40,15,9.7,0,29.2,29.1,29.1,0
3/2/2020,69,59.9,47,41,24.1,11,77,30.2,13,29,8.9,0,29.1,29.1,29,0
3/3/2020,80,66.6,55,42,25.1,12,50,23.3,12,14,6.3,0,29.2,29.1,29.1,0
3/4/2020,72,60.1,50,51,46,37,83,61.3,34,13,4.9,0,29.3,29.3,29.2,0
3/5/2020,79,63.9,49,50,43.9,36,86,53.2,25,9,3.7,0,29.3,29.3,29.2,0
3/6/2020,70,59.2,53,51,48.2,42,83,68.1,47,12,6.1,0,29.2,29.2,29.1,0
3/7/2020,61,55.8,53,48,44.9,42,77,67.5,51,12,7.3,0,29.2,29.1,29.1,0
3/8/2020,63,54.6,50,46,42,33,83,65,34,12,4.4,0,29.3,29.2,29.1,0
3/9/2020,70,57.9,47,46,37.6,35,68,49.6,28,17,4.2,0,29.3,29.2,29.1,0
3/10/2020,64,59.7,55,59,55,48,90,84.3,70,17,9.8,0,29.2,29.2,29.1,0.1
3/11/2020,70,60.8,57,56,52.6,48,94,76.4,47,10,5.6,0,29.2,29.2,29.1,0.24
3/12/2020,61,54,50,52,47.6,44,89,79.2,60,16,5.2,0,29.1,29,28.9,0
3/13/2020,54,52.1,50,51,49.3,47,94,90.4,82,12,4.8,0,29.2,29.1,29,1.94
3/14/2020,56,53.7,52,52,49.9,48,94,87,77,12,6.8,0,29.3,29.3,29.2,0.49
3/15/2020,59,54.4,51,50,44.3,37,89,70.6,44,13,6.2,0,29.3,29.3,29.3,0.1
3/16/2020,57,51.5,47,48,44.8,41,94,78.6,55,20,8.6,0,29.3,29.1,29.1,0.01
3/17/2020,55,48,39,42,38.3,35,90,71,49,12,3.5,0,29.2,29.1,29.1,0.64
3/18/2020,61,51.3,43,41,34.5,26,74,55,26,14,5.5,0,29.1,29,28.9,0
3/19/2020,58,52,48,45,41.8,39,80,68.8,49,13,6.3,0,29.3,29.2,29.1,0
3/20/2020,61,55.8,49,46,43.4,40,80,63.8,46,13,5.5,0,29.4,29.3,29.3,0.01
3/21/2020,64,57.5,52,47,45,43,83,64.4,48,12,3.4,0,29.3,29.3,29.3,0
3/22/2020,67,55.2,48,51,47.2,42,93,76.3,40,14,6.7,0,29.3,29.2,29.2,0
3/23/2020,61,55.5,52,52,47.6,43,93,76.2,53,12,5.3,0,29.3,29.3,29.2,1.02
3/24/2020,62,54.1,48,46,43.6,40,86,69,49,10,4.1,0,29.4,29.3,29.3,0
3/25/2020,60,54.9,50,44,40.9,36,74,60,47,15,7.5,0,29.3,29.2,29.1,0
3/26/2020,60,50.5,42,36,32.1,25,76,52.2,29,18,5.3,0,29.2,29.1,29.1,0
3/27/2020,64,54.3,44,41,30.9,22,66,43.3,20,13,7.1,0,29.3,29.2,29.1,0
3/28/2020,63,54.1,45,43,38.4,34,76,57.1,36,9,3.5,0,29.4,29.3,29.2,0
3/29/2020,63,56,47,46,42.7,39,77,62.2,48,16,5,0,29.3,29.2,29.2,0
3/30/2020,73,59.2,46,49,42.8,35,77,57.8,25,9,3.2,0,29.4,29.3,29.3,0
3/31/2020,77,64.3,52,48,44.1,41,80,51.5,29,10,4.1,0,29.3,29.2,29,0
4/1/2020,72,62.7,56,52,48.7,46,83,61.4,44,12,6.7,0,29.1,29,29,0
4/2/2020,68,60.3,56,52,47.1,36,83,63.1,35,13,5.2,0,29.1,29.1,29.1,0
4/3/2020,67,58.2,50,48,43.9,34,77,60.6,32,12,5.2,0,29.1,29.1,29,0
4/4/2020,65,57.1,52,49,46.7,43,80,69,48,13,6.7,0,29.1,29.1,29,0
4/5/2020,60,55.5,52,50,47,44,89,73.5,57,15,9.4,3,29.1,29,29,0
4/6/2020,57,53.9,52,51,48.1,41,93,81.5,57,18,9.2,0,29.2,29.1,29,0.44
4/7/2020,62,51.8,47,49,45,41,93,79.3,46,14,3.7,0,29.2,29.2,29.1,0.73
4/8/2020,56,51.2,48,46,42.8,36,90,74.1,51,15,5.7,0,29.3,29.2,29.1,0.58
4/9/2020,51,49.5,48,47,44.1,40,90,81.9,68,10,6.3,0,29.3,29.3,29.2,0.09
4/10/2020,59,52.8,48,47,44.3,42,89,74.1,55,13,2.3,0,29.2,29.1,29.1,1.23
4/11/2020,68,57.4,47,50,47.4,42,86,70.8,47,13,6.2,0,29.2,29.1,29.1,0.08
4/12/2020,59,55.8,54,52,50.3,49,90,81.9,69,10,5.6,0,29.3,29.2,29.2,0
4/13/2020,64,57.1,53,51,49,47,93,75.3,58,9,4.1,0,29.3,29.3,29.2,0.06
4/14/2020,79,63.1,47,48,40.1,23,90,51.9,13,14,3.8,0,29.3,29.3,29.2,0
4/15/2020,80,67.4,52,43,34,26,52,31,14,10,4.3,0,29.3,29.2,29.1,0
4/16/2020,73,62,53,51,45.3,39,80,56.4,33,15,6.6,0,29.1,29.1,29.1,0
4/17/2020,63,57.5,54,49,47.5,45,83,69.8,53,14,6.7,0,29.2,29.1,29.1,0
4/18/2020,62,58.3,56,50,47.2,45,80,67,56,9,3.5,0,29.3,29.2,29.2,0
4/19/2020,66,58.5,52,48,46.1,45,80,64.3,48,12,4.6,0,29.3,29.2,29.2,0
4/20/2020,66,59.5,53,50,48.3,47,80,66.8,56,10,4.7,0,29.3,29.2,29.2,0
4/21/2020,75,62.9,53,50,47.6,42,86,60,31,14,6.5,0,29.3,29.2,29.2,0
4/22/2020,92,72.7,54,51,43.8,32,72,40.7,15,18,7.4,0,29.3,29.2,29.2,0
4/23/2020,94,80,70,53,44,39,49,29.1,17,17,9.3,0,29.2,29.1,29,0
4/24/2020,98,82.1,64,54,45.1,36,65,32.3,13,14,4.9,0,29.1,29.1,29,0
4/25/2020,91,79.1,66,56,50.4,37,65,38.7,22,9,5.5,0,29.1,29.1,29.1,0
4/26/2020,87,75.2,64,57,51.4,48,68,45.3,27,10,5.5,0,29.1,29.1,29.1,0
4/27/2020,82,72,62,57,54,50,80,55.2,38,13,6.3,0,29.1,29.1,29.1,0
4/28/2020,85,72,62,59,55.4,53,75,57.3,39,12,5,0,29.2,29.1,29.1,0
4/29/2020,79,66.1,59,60,57,56,90,73.5,52,13,5.9,0,29.2,29.1,29.1,0
4/30/2020,80,67.4,60,59,57.1,56,87,70.8,48,14,7.7,0,29.1,29.1,29,0
5/1/2020,78,67.5,59,56,53.3,48,87,63.1,38,14,8.8,6,29.1,29.1,29.1,0
5/2/2020,78,66.6,58,55,52.3,49,84,62.4,37,14,6.6,0,29.2,29.1,29.1,0
5/3/2020,76,66.9,58,55,51.7,49,72,58.8,46,13,6.1,0,29.2,29.2,29.1,0
5/4/2020,85,71.1,57,55,52,48,75,53.2,32,10,5.5,0,29.2,29.1,29.1,0
5/5/2020,94,79,61,54,40,29,58,28.9,11,12,4.1,0,29.1,29.1,29.1,0
5/6/2020,94,80.1,66,47,41.7,37,42,27,16,12,3.3,0,29.1,29.1,29,0
5/7/2020,94,79.2,68,53,43.3,37,42,29.1,16,12,4.7,0,29.1,29,29,0
5/8/2020,86,73.7,63,59,52,46,76,48.3,30,15,5.2,0,29.1,29.1,29,0
5/9/2020,79,67.6,61,59,57,55,90,70.5,47,12,6.1,0,29.1,29.1,29.1,0
5/10/2020,75,63.9,59,57,55.6,53,93,75.6,51,12,6.3,0,29.2,29.1,29.1,0
5/11/2020,73,64.9,59,54,52.1,50,80,64.3,48,13,5.7,0,29.2,29.1,29.1,0
5/12/2020,71,62.7,55,54,49.4,44,77,62.3,45,13,6.5,0,29.2,29.1,29.1,0
5/13/2020,72,63.5,55,49,46,44,69,54.1,38,12,6.3,0,29.2,29.1,29.1,0
5/14/2020,80,67.4,56,51,48.6,41,74,53.5,26,16,7,0,29.2,29.1,29.1,0
5/15/2020,77,68.3,60,54,52.3,51,80,58.2,40,12,7.9,3,29.1,29.1,29,0
5/16/2020,81,70.3,60,53,51.1,49,69,52,35,13,5.9,0,29.1,29,29,0
5/17/2020,77,68.4,60,56,52.8,49,75,58.3,45,13,6.7,0,29.1,29.1,29,0
5/18/2020,70,63.1,59,60,54.7,43,90,75.4,44,14,8.8,0,29.1,29.1,29.1,0
5/19/2020,69,62.1,53,49,44.7,41,80,54.9,36,12,5.6,0,29.2,29.1,29.1,0.3
5/20/2020,73,64,53,51,47.3,41,77,56.7,33,10,6.3,0,29.2,29.2,29.1,0
5/21/2020,86,71.5,55,50,42.9,32,69,41.1,15,10,4.5,0,29.1,29.1,29,0
5/22/2020,77,65.7,59,55,52.6,50,83,64.3,39,13,8.1,5,29.1,29,29,0
5/23/2020,72,65.1,60,53,50.5,48,75,60.1,43,14,7.2,0,29.1,29.1,29,0
5/24/2020,81,68.2,57,56,53.4,49,75,60.7,41,13,4.8,0,29.1,29.1,29,0
5/25/2020,85,72.7,60,57,54.5,52,75,55.5,33,10,5.1,0,29.1,29.1,29,0
5/26/2020,91,74.1,63,56,54.7,52,75,53.8,26,12,5.5,0,29.1,29.1,29,0
5/27/2020,86,71.6,62,58,56,55,80,60,38,13,6.3,0,29.1,29.1,29,0
5/28/2020,82,67.3,60,58,56.4,55,86,69.9,42,14,6.8,0,29.1,29.1,29.1,0
5/29/2020,74,64.5,61,58,56,54,83,74.4,57,12,6.5,0,29.2,29.1,29.1,0
5/30/2020,75,65.4,61,54,52.1,50,78,63,43,14,5.1,0,29.2,29.1,29.1,0
5/31/2020,78,66.1,58,55,52.4,50,78,62.4,43,12,4.3,0,29.1,29.1,29,0
6/1/2020,87,75.2,62,54,49,42,72,43.6,21,15,6.8,0,29.1,29.1,29,0
6/2/2020,84,74,64,54,51.7,48,59,46.6,29,9,5,0,29.2,29.1,29.1,0
6/3/2020,97,79.6,68,58,53,47,70,43.1,18,17,6,0,29.1,29.1,29,0
6/4/2020,78,68.6,62,59,57.5,56,84,68.8,48,14,8.2,3,29,29,29,0
