date,new_cases,new_hospitalize,new_deaths,cases,hospitalize,deaths
2/29/2020,1,1,0,1,1,0
3/1/2020,0,1,0,1,2,0
3/2/2020,0,2,0,1,4,0
3/3/2020,1,7,0,2,11,0
3/4/2020,5,2,0,7,13,0
3/5/2020,3,14,0,10,27,0
3/6/2020,8,8,0,18,35,0
3/7/2020,7,8,0,25,43,0
3/8/2020,21,18,0,46,61,0
3/9/2020,57,36,0,103,97,0
3/10/2020,69,60,0,172,157,0
3/11/2020,155,78,1,327,235,1
3/12/2020,355,105,0,682,340,1
3/13/2020,619,151,0,1301,491,1
3/14/2020,642,176,2,1943,667,3
3/15/2020,1034,210,4,2977,877,7
3/16/2020,2121,337,7,5098,1214,14
3/17/2020,2451,382,8,7549,1596,22
3/18/2020,2971,491,20,10520,2087,42
3/19/2020,3706,629,24,14226,2716,66
3/20/2020,4007,732,47,18233,3448,113
3/21/2020,2639,731,44,20872,4179,157
3/22/2020,2580,768,49,23452,4947,206
3/23/2020,3570,1130,82,27022,6077,288
3/24/2020,4497,1292,95,31519,7369,383
3/25/2020,4874,1417,125,36393,8786,508
3/26/2020,5045,1524,186,41438,10310,694
3/27/2020,5119,1565,216,46557,11875,910
3/28/2020,3479,1375,272,50036,13250,1182
3/29/2020,3560,1494,290,53596,14744,1472
3/30/2020,6129,1839,323,59725,16583,1795
3/31/2020,5458,1779,388,65183,18362,2183
4/1/2020,5448,1732,447,70631,20094,2630
4/2/2020,5746,1655,499,76377,21749,3129
4/3/2020,5670,1693,497,82047,23442,3626
4/4/2020,3866,1435,512,85913,24877,4138
4/5/2020,3782,1382,578,89695,26259,4716
4/6/2020,6353,1727,576,96048,27986,5292
4/7/2020,6044,1568,598,102092,29554,5890
4/8/2020,5575,1531,568,107667,31085,6458
4/9/2020,5070,1330,559,112737,32415,7017
4/10/2020,4510,1273,537,117247,33688,7554
4/11/2020,3732,1031,544,120979,34719,8098
4/12/2020,2887,940,573,123866,35659,8671
4/13/2020,3311,1142,569,127177,36801,9240
4/14/2020,4144,969,507,131321,37770,9747
4/15/2020,3876,852,456,135197,38622,10203
4/16/2020,3530,773,412,138727,39395,10615
4/17/2020,3586,777,384,142313,40172,10999
4/18/2020,2172,575,390,144485,40747,11389
4/19/2020,2343,531,399,146828,41278,11788
4/20/2020,3792,621,364,150620,41899,12152
4/21/2020,3061,578,323,153681,42477,12475
4/22/2020,3446,509,311,157127,42986,12786
4/23/2020,2841,438,330,159968,43424,13116
4/24/2020,2535,461,314,162503,43885,13430
4/25/2020,1595,318,265,164098,44203,13695
4/26/2020,1003,306,245,165101,44509,13940
4/27/2020,2290,365,270,167391,44874,14210
4/28/2020,2726,347,229,170117,45221,14439
4/29/2020,2340,305,237,172457,45526,14676
4/30/2020,2022,250,223,174479,45776,14899
5/1/2020,1887,258,209,176366,46034,15108
5/2/2020,1058,201,189,177424,46235,15297
5/3/2020,787,213,177,178211,46448,15474
5/4/2020,1550,235,158,179761,46683,15632
5/5/2020,1512,209,151,181273,46892,15783
5/6/2020,1397,209,151,182670,47101,15934
5/7/2020,1238,173,141,183908,47274,16075
5/8/2020,1079,165,130,184987,47439,16205
5/9/2020,657,120,99,185644,47559,16304
5/10/2020,457,104,102,186101,47663,16406
5/11/2020,1231,179,103,187332,47842,16509
5/12/2020,1285,110,91,188617,47952,16600
5/13/2020,1333,127,83,189950,48079,16683
5/14/2020,1111,141,70,191061,48220,16753
5/15/2020,873,124,87,191934,48344,16840
5/16/2020,485,90,81,192419,48434,16921
5/17/2020,360,80,77,192779,48514,16998
5/18/2020,894,109,59,193673,48623,17057
5/19/2020,1003,112,55,194676,48735,17112
5/20/2020,1077,78,78,195753,48813,17190
5/21/2020,1069,82,44,196822,48895,17234
5/22/2020,1036,100,65,197858,48995,17299
5/23/2020,455,73,60,198313,49068,17359
5/24/2020,467,86,48,198780,49154,17407
5/25/2020,464,78,47,199244,49232,17454
5/26/2020,1050,74,36,200294,49306,17490
5/27/2020,741,75,48,201035,49381,17538
5/28/2020,646,79,37,201681,49460,17575
5/29/2020,638,84,43,202319,49544,17618
5/30/2020,346,54,52,202665,49598,17670
5/31/2020,230,60,39,202895,49658,17709
6/1/2020,686,81,33,203581,49739,17742
6/2/2020,570,62,37,204151,49801,17779
6/3/2020,515,72,42,204666,49873,17821
6/4/2020,517,74,33,205183,49947,17854
6/5/2020,402,53,27,205585,50000,17881
6/6/2020,247,37,34,205832,50037,17915
6/7/2020,197,54,24,206029,50091,17939
6/8/2020,447,60,38,206476,50151,17977
6/9/2020,419,65,30,206895,50216,18007
6/10/2020,363,63,32,207258,50279,18039
6/11/2020,363,49,21,207621,50328,18060
6/12/2020,409,52,22,208030,50380,18082
6/13/2020,196,35,15,208226,50415,18097
6/14/2020,180,46,22,208406,50461,18119
6/15/2020,380,52,19,208786,50513,18138
6/16/2020,419,61,16,209205,50574,18154
6/17/2020,356,49,20,209561,50623,18174
6/18/2020,378,56,15,209939,50679,18189
6/19/2020,361,45,15,210300,50724,18204
6/20/2020,203,25,16,210503,50749,18220
6/21/2020,172,43,22,210675,50792,18242
6/22/2020,402,48,18,211077,50840,18260
6/23/2020,381,44,17,211458,50884,18277
6/24/2020,381,52,18,211839,50936,18295
6/25/2020,298,42,15,212137,50978,18310
6/26/2020,317,33,17,212454,51011,18327
6/27/2020,206,42,12,212660,51053,18339
6/28/2020,201,32,11,212861,51085,18350
6/29/2020,437,47,16,213298,51132,18366
6/30/2020,441,43,11,213739,51175,18377
7/1/2020,396,38,9,214135,51213,18386
7/2/2020,416,45,16,214551,51258,18402
7/3/2020,233,30,11,214784,51288,18413
7/4/2020,120,30,5,214904,51318,18418
7/5/2020,155,28,8,215059,51346,18426
7/6/2020,431,54,7,215490,51400,18433
7/7/2020,461,47,6,215951,51447,18439
7/8/2020,437,34,13,216388,51481,18452
7/9/2020,392,46,5,216780,51527,18457
7/10/2020,307,44,5,217087,51571,18462
7/11/2020,259,34,8,217346,51605,18470
7/12/2020,223,26,4,217569,51631,18474
7/13/2020,483,49,13,218052,51680,18487
7/14/2020,403,43,10,218455,51723,18497
7/15/2020,439,43,12,218894,51766,18509
7/16/2020,411,34,6,219305,51800,18515
7/17/2020,413,49,9,219718,51849,18524
7/18/2020,216,26,9,219934,51875,18533
7/19/2020,176,38,7,220110,51913,18540
7/20/2020,404,38,7,220514,51951,18547
7/21/2020,341,24,6,220855,51975,18553
7/22/2020,328,40,6,221183,52015,18559
7/23/2020,309,32,7,221492,52047,18566
7/24/2020,299,40,5,221791,52087,18571
7/25/2020,153,35,10,221944,52122,18581
7/26/2020,140,25,7,222084,52147,18588
7/27/2020,313,37,3,222397,52184,18591
7/28/2020,313,37,12,222710,52221,18603
7/29/2020,287,30,4,222997,52251,18607
7/30/2020,274,36,4,223271,52287,18611
7/31/2020,262,33,3,223533,52320,18614
8/1/2020,189,26,6,223722,52346,18620
8/2/2020,135,33,1,223857,52379,18621
8/3/2020,348,38,2,224205,52417,18623
8/4/2020,187,32,3,224392,52449,18626
8/5/2020,298,38,5,224690,52487,18631
8/6/2020,288,34,5,224978,52521,18636
8/7/2020,255,23,2,225233,52544,18638
